STN1,STN2,Weight,Bins,Frequency,Intervals
MDU,MNM,6,,,
GDL,VRR,6,,,
KGB,BIG,6,,,
CPH,AKT,6,,,
CPH,JSG,6,,,
CPH,KRBA,6,,,
MXN,AGI,6,,,
MXH,LNK,6,,,
CLKA,BALU,6,,,
CLKA,KIT,6,,,
THVM,KKW,6,,,
THVM,PERN,6,,,
DGG,AGN,6,,,
DGO,KMS,6,,,
SLO,TUNI,6,,,
SLB,MDN,6,,,
MCI,WL,6,,,
MCA,TMZ,6,,,
MCA,PKU,6,,,
MCA,ULB,6,,,
MCS,BBS,6,,,
KIR,CRR,6,,,
KIR,NJP,6,,,
KIT,CAP,6,,,
CRY,TVP,6,,,
CRJ,VDS,6,,,
KURJ,MBA,6,,,
FD,BSB,6,,,
DAB,UMRI,6,,,
NYY,PASA,6,,,
AGI,SLGR,6,,,
NYN,MKP,6,,,
KOTA,GUNA,6,,,
KOTA,BWM,6,,,
BWT,SA,6,,,
BWH,GMR,6,,,
BWH,DLN,6,,,
CHSM,VRI,6,,,
SNF,LPI,6,,,
MAP,JTJ,6,,,
MAU,BSB,6,,,
MAO,PNVL,6,,,
MAO,CNO,6,,,
KKW,SNDD,6,,,
KKN,CAER,6,,,
VAPI,BLD,6,,,
BNLW,SWM,6,,,
KWAE,AZ,6,,,
KUDL,SNDD,6,,,
KUDL,SWV,6,,,
DAKE,BNXR,6,,,
AJNI,WR,6,,,
TUP,CBF,6,,,
VMA,SGZ,6,,,
PAR,KATL,6,,,
CKB,SWM,6,,,
PAZ,CAN,6,,,
PAZ,KPQ,6,,,
CKP,PRR,6,,,
CKP,SWR,6,,,
PAN,MNAE,6,,,
UJN,RTM,6,,,
UJN,BPL,6,,,
GBA,VSU,6,,,
BUT,BLT,6,,,
BUG,NKE,6,,,
MOF,SAW,6,,,
KMD,PGR,6,,,
KMC,AKE,6,,,
KML,DBG,6,,,
KMU,ADT,6,,,
KMZ,SGO,6,,,
KMZ,SDL,6,,,
ALLP,MAKM,6,,,
CVP,VPT,6,,,
JJKR,BLS,6,,,
SV,ZRDE,6,,,
UHP,JAT,6,,,
BSB,GCT,6,,,
BSB,PBH,6,,,
SBV,KFA,6,,,
SBO,BGP,6,,,
ERN,TRTR,6,,,
KOU,OBVP,6,,,
RE,NNL,6,,,
RN,SGR,6,,,
ANND,VDA,6,,,
NBG,KYF,6,,,
NGNT,TEL,6,,,
JYG,KJI,6,,,
JYG,MBI,6,,,
AUBR,JHN,6,,,
HSA,DLO,6,,,
HSK,NPD,6,,,
HSR,BNW,6,,,
GHY,GLPT,6,,,
GHY,RNY,6,,,
COR,CNA,6,,,
COR,BUDI,6,,,
PEM,TVR,6,,,
COI,MKP,6,,,
MKU,KNW,6,,,
GNA,GJUT,6,,,
GNA,BTI,6,,,
MKP,MJG,6,,,
MKX,RMA,6,,,
SDE,BTA,6,,,
KQR,GMO,6,,,
KQT,SEM,6,,,
BQA,MDN,6,,,
JWB,ABR,6,,,
JWB,SOH,6,,,
HUP,KJM,6,,,
EKM,TRT,6,,,
EKC,GGA,6,,,
SC,BN,6,,,
SC,MJF,6,,,
SC,MLY,6,,,
SA,SGE,6,,,
PGR,ED,6,,,
MAKM,SRTL,6,,,
OGL,ANB,6,,,
OGL,TNR,6,,,
UDN,BL,6,,,
UDN,NDB,6,,,
MIL,BE,6,,,
MIL,RMU,6,,,
GAR,SCKR,6,,,
SFW,PFR,6,,,
KSG,NRI,6,,,
BNDA,KHU,6,,,
GWD,SRNR,6,,,
TME,TN,6,,,
TME,MVN,6,,,
TDPR,CDM,6,,,
FAN,MVJ,6,,,
PIP,MDS,6,,,
AMI,BD,6,,,
NWU,NDB,6,,,
NWP,KBM,6,,,
KHRJ,CBK,6,,,
TU,YA,6,,,
TP,TPJ,6,,,
AN,DDE,6,,,
AY,MUR,6,,,
PUT,TRT,6,,,
SKZR,RDM,6,,,
HIJ,TATA,6,,,
PKF,BANO,6,,,
MUV,GYN,6,,,
MUR,BV,6,,,
MUD,MDNR,6,,,
DUD,SUR,6,,,
THDR,MGN,6,,,
KWM,HJI,6,,,
BYNR,UD,6,,,
TIU,CHE,6,,,
TIU,KBM,6,,,
TIS,NKM,6,,,
ROU,HTE,6,,,
ROU,RNC,6,,,
BDC,CGR,6,,,
BDM,HLAR,6,,,
BDL,MJA,6,,,
SDLP,LHU,6,,,
IDR,BJP,6,,,
MSZ,BLZ,6,,,
MSH,KLL,6,,,
PGI,VLI,6,,,
KYN,PNVL,6,,,
KYF,JPL,6,,,
VBW,RAJP,6,,,
PRF,SWPR,6,,,
PRR,ADRA,6,,,
DLK,TETA,6,,,
RMR,KPV,6,,,
LNL,TGN,6,,,
SMET,ANF,6,,,
SMET,SME,6,,,
VM,TRK,6,,,
VM,CUPJ,6,,,
BPRD,PBL,6,,,
SUD,TETA,6,,,
SUD,BOE,6,,,
TEL,DIG,6,,,
NBQ,BNGN,6,,,
DND,BSE,6,,,
ADTP,TATA,6,,,
JKE,KTE,6,,,
JKE,MYR,6,,,
DO,GTJT,6,,,
DHG,ADI,6,,,
DHG,HVD,6,,,
WL,JMKT,6,,,
HAS,SKLR,6,,,
MJRI,WRR,6,,,
MJRI,ADB,6,,,
BLS,BLDA,6,,,
KTHU,HRNR,6,,,
ED,SGE,6,,,
BOR,PLG,6,,,
SKM,TNR,6,,,
SKI,PDW,6,,,
NDL,DHNE,6,,,
BJU,SAE,6,,,
GJUT,BTI,6,,,
ADRA,ANR,6,,,
MYA,SBC,6,,,
DHNE,GTL,6,,,
NTSK,SLGR,6,,,
FK,VLI,6,,,
GGC,BXN,6,,,
MDW,MTD,6,,,
JER,BTS,6,,,
LPJ,JAM,6,,,
NDLS,FDB,6,,,
UMR,CHD,6,,,
MBI,PDW,6,,,
MBB,BPC,6,,,
JCL,SHNR,6,,,
BTJL,KAWR,6,,,
DBD,TPZ,6,,,
BTY,KNJ,6,,,
KJM,BNCE,6,,,
JAIS,RBL,6,,,
VRL,SMNH,6,,,
HPU,MTC,6,,,
GMO,BKSC,6,,,
BRE,ALD,6,,,
CJM,ANB,6,,,
VPT,TMQ,6,,,
GPR,PUNE,6,,,
TPJ,ALU,6,,,
SEH,BPL,6,,,
PDH,HAPA,6,,,
CLT,TLY,6,,,
KAWR,ANKL,6,,,
KAWR,CNO,6,,,
GOK,KT,6,,,
KNW,TLV,6,,,
TRK,TNM,6,,,
HTC,MTJ,6,,,
HDB,JPG,6,,,
CNB,BZM,6,,,
SHR,GSPR,6,,,
CKDL,HRNR,6,,,
SZR,BXJ,6,,,
JRU,DVG,6,,,
ALD,MJA,6,,,
SPJ,UJP,5,,,
JNH,SAW,5,,,
GRY,PHR,5,,,
GRY,PGW,5,,,
PNDM,VRI,5,,,
PNDM,ALU,5,,,
MLN,PP,5,,,
PNP,SZM,5,,,
PNK,CNB,5,,,
MRJ,HTK,5,,,
MRB,KBL,5,,,
MRB,HPT,5,,,
SKGH,CAR,5,,,
SKGH,LUSA,5,,,
DMM,YNK,5,,,
JLS,HRS,5,,,
JLS,TDL,5,,,
JLL,KSF,5,,,
SRC,MCA,5,,,
RJK,CH,5,,,
RJK,MB,5,,,
DRD,BOR,5,,,
DRD,PLG,5,,,
BGKT,PMY,5,,,
KZJ,JMKT,5,,,
UVD,VAPI,5,,,
JJR,GPR,5,,,
BAT,DHW,5,,,
BAT,ASR,5,,,
GAYA,BELA,5,,,
GAYA,SSM,5,,,
GAYA,PRP,5,,,
JHL,LHA,5,,,
NAD,SGZ,5,,,
LKO,GKP,5,,,
NH,BNXR,5,,,
RAIR,SBP,5,,,
URI,KDG,5,,,
NGP,AK,5,,,
BMO,MJF,5,,,
GZN,MUD,5,,,
RMC,PFM,5,,,
RMC,LGO,5,,,
KEM,JEUR,5,,,
KEM,KWV,5,,,
KEH,SWPR,5,,,
KEH,PRF,5,,,
DMRX,BRYA,5,,,
RQJ,BLK,5,,,
KLRE,PTRU,5,,,
BKP,KWO,5,,,
BKP,HRT,5,,,
KGQ,KMQ,5,,,
CPJ,GKP,5,,,
CPJ,PPC,5,,,
CPR,CI,5,,,
CPU,AGY,5,,,
CPU,CUK,5,,,
DGR,RPH,5,,,
MCA,HWH,5,,,
KIM,ST,5,,,
CRY,TVC,5,,,
PP,PBE,5,,,
AGY,CUK,5,,,
MAP,TPT,5,,,
SNT,MLV,5,,,
MAO,RN,5,,,
MAN,ANND,5,,,
NMH,NBH,5,,,
CTC,BLS,5,,,
PAP,GLP,5,,,
PAO,AKV,5,,,
PAO,KSB,5,,,
MOG,BJU,5,,,
KHED,MNI,5,,,
CDMR,SYJ,5,,,
JMT,MDP,5,,,
NDAE,BDC,5,,,
GLP,ANV,5,,,
BSL,IGP,5,,,
BSL,NDB,5,,,
BSB,CAR,5,,,
SBB,DLI,5,,,
SBB,NZM,5,,,
SBB,DSA,5,,,
KOO,KWO,5,,,
KOP,HTK,5,,,
QLN,TVP,5,,,
RC,GTL,5,,,
RK,MTC,5,,,
SUNR,LTR,5,,,
SUNR,ADI,5,,,
PEP,BUI,5,,,
MKP,JTW,5,,,
KQR,GJD,5,,,
MKA,PHK,5,,,
SM,BKRD,5,,,
CAR,RBGJ,5,,,
LHA,SFM,5,,,
DYD,SGJ,5,,,
OGL,CJM,5,,,
SFC,BUDM,5,,,
KSV,FDB,5,,,
KSJ,HTC,5,,,
KSJ,FBD,5,,,
NJP,MLDT,5,,,
NJT,TVC,5,,,
NJT,TEN,5,,,
GJL,HPU,5,,,
NWU,VYA,5,,,
HSRA,BAND,5,,,
TP,KLT,5,,,
AH,MTJ,5,,,
ASN,JSME,5,,,
KWR,BTA,5,,,
BKRD,HCR,5,,,
PPC,GKP,5,,,
GSP,DHW,5,,,
BH,PLJ,5,,,
NNW,GGC,5,,,
UD,KAWR,5,,,
MSR,TAZ,5,,,
MSK,NNR,5,,,
KYQ,NBQ,5,,,
TRTR,KTYM,5,,,
RMP,KRG,5,,,
RMP,TAZ,5,,,
BBK,SGJ,5,,,
DD,KDG,5,,,
VG,LTR,5,,,
VG,SAU,5,,,
VS,BRC,5,,,
PTK,KTHU,5,,,
NBQ,APDJ,5,,,
AMB,LJR,5,,,
SWM,BTE,5,,,
SWM,MTJ,5,,,
SWM,MLZ,5,,,
GYN,ALD,5,,,
BLM,BGH,5,,,
RPH,MLV,5,,,
KDM,NKD,5,,,
HEM,SHSK,5,,,
BJU,HJP,5,,,
BJU,HTZ,5,,,
WENA,HRT,5,,,
NDLS,UMB,5,,,
SAU,ADI,5,,,
KJN,FBD,5,,,
QRP,AHH,5,,,
KLT,KRR,5,,,
TPT,KPN,5,,,
PFM,LGO,5,,,
KPG,ANG,5,,,
GZH,PNBE,5,,,
TLV,CAER,5,,,
TNM,ARV,5,,,
SPP,BJU,4,,,
SPP,HJP,4,,,
SPP,MNO,4,,,
SPT,MMS,4,,,
JNU,KS,4,,,
JND,NUD,4,,,
JNH,MAY,4,,,
JNH,PBH,4,,,
BEB,PLY,4,,,
BER,FA,4,,,
HLN,MGF,4,,,
RLO,TU,4,,,
RLO,GY,4,,,
LMK,PPD,4,,,
DPR,MB,4,,,
LD,KNP,4,,,
PNQ,TCR,4,,,
PNU,CHP,4,,,
PNU,DISA,4,,,
PNU,ADI,4,,,
PNW,KSX,4,,,
PNC,MKA,4,,,
MRR,RPH,4,,,
MRL,SCH,4,,,
MRJ,GPB,4,,,
MRJ,STR,4,,,
APR,BSP,4,,,
APR,BUH,4,,,
KXH,SQR,4,,,
KXH,JUC,4,,,
KXN,GP,4,,,
SASN,LDH,4,,,
MBNL,MON,4,,,
MBNL,RNV,4,,,
MBNR,SHNR,4,,,
CLG,SBO,4,,,
WKR,MVI,4,,,
PNYA,KZA,4,,,
PNYA,BUG,4,,,
KRPU,DMNJ,4,,,
DMP,KLK,4,,,
JLR,VRR,4,,,
JLR,NUD,4,,,
JLR,GDL,4,,,
PSA,MMS,4,,,
PSA,IPM,4,,,
JLD,GD,4,,,
JLD,BBK,4,,,
PSR,MSK,4,,,
PSR,NNR,4,,,
JLL,JOP,4,,,
HNA,KAWR,4,,,
HNA,BTJL,4,,,
BCU,PUL,4,,,
BCU,BTI,4,,,
SRE,LRJ,4,,,
SRJ,BRG,4,,,
SRP,CGR,4,,,
SRP,SHE,4,,,
HLZ,TMZ,4,,,
TDO,JUC,4,,,
NMZ,DLO,4,,,
TDD,BMD,4,,,
NMJ,TVR,4,,,
NMK,SMPR,4,,,
TDU,NAW,4,,,
RJT,JAM,4,,,
RJP,PMT,4,,,
RJY,TNKU,4,,,
DRH,DRTP,4,,,
DRL,BRC,4,,,
DRD,UBR,4,,,
BGKT,JU,4,,,
BGKT,LUNI,4,,,
MLD,DIL,4,,,
MLD,KKJ,4,,,
MPL,PIL,4,,,
MPL,MCU,4,,,
MPL,KRY,4,,,
MPL,KCI,4,,,
GOY,BZM,4,,,
JDB,JYP,4,,,
KZT,NYY,4,,,
KZA,SBZ,4,,,
KZE,CHV,4,,,
KZJ,MCI,4,,,
KZJ,BPQ,4,,,
GOGH,APDJ,4,,,
MLHA,CVR,4,,,
VAK,TVP,4,,,
SGRL,KMZ,4,,,
SGRL,BEHR,4,,,
SGRA,HMH,4,,,
SGRA,DABN,4,,,
SGRA,MNSR,4,,,
SGRA,MBY,4,,,
MA,MO,4,,,
MA,KWV,4,,,
MB,PLS,4,,,
MB,HW,4,,,
MJ,SOS,4,,,
MV,KTM,4,,,
NBR,MAG,4,,,
NBR,PDKN,4,,,
DOD,JAO,4,,,
BHTA,DWK,4,,,
BHTA,KMBL,4,,,
PUL,BTI,4,,,
JJG,BQG,4,,,
PUS,BRMO,4,,,
PUS,DHN,4,,,
PUS,BHME,4,,,
BAZ,CAG,4,,,
BAZ,ATH,4,,,
SJNP,PTK,4,,,
BAB,BZY,4,,,
BAB,TBT,4,,,
BAL,TJ,4,,,
STA,MZP,4,,,
STN,ULT,4,,,
STN,RNPR,4,,,
STR,WTR,4,,,
NCR,NGT,4,,,
NCR,KIK,4,,,
NCJ,AAY,4,,,
SJN,BLD,4,,,
SJN,UBR,4,,,
KAJ,RGJ,4,,,
KAJ,RDP,4,,,
RTGH,SUJH,4,,,
RHE,GUD,4,,,
SYN,KIM,4,,,
SYN,ST,4,,,
MRHT,SRTN,4,,,
DMNJ,LKMR,4,,,
KIUL,HTZ,4,,,
CNPR,RRME,4,,,
ATE,BTKP,4,,,
ATH,KOTA,4,,,
RGD,NLD,4,,,
LDH,DDL,4,,,
LDH,MET,4,,,
KKHT,TRS,4,,,
KKHT,DBG,4,,,
GAYA,JHD,4,,,
GAYA,RFJ,4,,,
DNWH,FUT,4,,,
DNWH,HIL,4,,,
GDA,SAT,4,,,
JOR,MKSR,4,,,
JOR,MON,4,,,
FSP,HAN,4,,,
FSP,BXN,4,,,
KDPR,BOE,4,,,
SNLR,SIOB,4,,,
SNLR,RDHP,4,,,
DIL,RBD,4,,,
JHL,ROK,4,,,
JHL,MSZ,4,,,
PWL,AST,4,,,
NAB,WSA,4,,,
HBJ,ODG,4,,,
NAM,NHK,4,,,
BOJ,SLGR,4,,,
NAW,KQT,4,,,
NAT,BGP,4,,,
BOF,SOL,4,,,
MGME,TORI,4,,,
MGME,KLRE,4,,,
SMBX,BBMN,4,,,
LKU,HLDD,4,,,
LKR,BJU,4,,,
LKR,JAJ,4,,,
LKS,DHRR,4,,,
KCG,SHNR,4,,,
KCI,PIL,4,,,
NH,BP,4,,,
AZR,KWE,4,,,
NLR,VDE,4,,,
TKR,SLI,4,,,
DEOR,BLDI,4,,,
DEOR,RDHP,4,,,
DEOS,MAU,4,,,
KEPR,LBA,4,,,
KEPR,HRPG,4,,,
RAIR,ANGL,4,,,
RSI,LRJ,4,,,
RSR,MAU,4,,,
RSR,RTP,4,,,
PDU,CPP,4,,,
PDU,CHE,4,,,
DKD,VKN,4,,,
DKJ,GLA,4,,,
IPR,EKR,4,,,
NGT,VLNK,4,,,
NGP,BSL,4,,,
NGP,NRKR,4,,,
NGP,MJRI,4,,,
BMD,EE,4,,,
BME,BUT,4,,,
BMI,MGN,4,,,
BMI,THDR,4,,,
BMO,MZL,4,,,
BMT,VKB,4,,,
SHZ,JTO,4,,,
SHZ,SML,4,,,
SHE,CGR,4,,,
SHE,BDC,4,,,
SHE,HWH,4,,,
SHG,FD,4,,,
GZO,EKI,4,,,
MGF,KRNR,4,,,
GZB,MDNR,4,,,
MGS,CNB,4,,,
MGS,SSM,4,,,
KEI,CAR,4,,,
MRDW,BYNR,4,,,
MHRG,LHU,4,,,
BNVD,WSJ,4,,,
BMH,DHNE,4,,,
BOY,PBH,4,,,
CKTD,BTKP,4,,,
FTG,JAIS,4,,,
VVM,BVRM,4,,,
WSJ,JAM,4,,,
HYT,RBZ,4,,,
VKI,GDR,4,,,
VKB,SC,4,,,
SBLT,JSM,4,,,
SBLT,AQG,4,,,
GIMB,BHUJ,4,,,
DES,MNO,4,,,
FL,MKN,4,,,
KLRS,SVPI,4,,,
NED,PBN,4,,,
HFG,JTG,4,,,
BKL,MDR,4,,,
BKL,KMT,4,,,
BKH,SCKR,4,,,
BKJ,UD,4,,,
BKJ,KUDA,4,,,
BKP,RJPB,4,,,
SJP,BIH,4,,,
DHRR,LGH,4,,,
GDR,VDE,4,,,
GDG,HLAR,4,,,
MDU,TMQ,4,,,
MDU,SDN,4,,,
GDL,NUD,4,,,
KGQ,PAY,4,,,
KGQ,KQK,4,,,
KGB,BSP,4,,,
KGL,KO,4,,,
KGL,AD,4,,,
CPH,BUA,4,,,
CPK,GHY,4,,,
CPU,GHD,4,,,
RMRB,KATI,4,,,
RMRB,DGHA,4,,,
MXN,NTSK,4,,,
MXN,TTB,4,,,
MXH,MWX,4,,,
RGDA,PVP,4,,,
RGDA,TKRI,4,,,
RGDA,KSNG,4,,,
GNGD,KUU,4,,,
GNGD,BALU,4,,,
MKRN,GAJ,4,,,
MKRN,SGO,4,,,
VID,RAJP,4,,,
JBP,BSL,4,,,
THVM,KUDL,4,,,
JBN,FBG,4,,,
DGA,STLR,4,,,
DGG,SKS,4,,,
DGR,KOAA,4,,,
DGR,HWH,4,,,
DGU,JID,4,,,
DGU,GHY,4,,,
BIH,BHS,4,,,
BIA,BPHB,4,,,
SLR,SOL,4,,,
SLR,KDZ,4,,,
SLN,FD,4,,,
SLN,PBH,4,,,
MCN,KPD,4,,,
MCI,RVKH,4,,,
MCU,KRY,4,,,
MCS,CTC,4,,,
MCQ,KRLR,4,,,
MCQ,OBR,4,,,
KIR,BJU,4,,,
KIR,PRNA,4,,,
KIT,GAM,4,,,
KIT,RBA,4,,,
KIN,MVJ,4,,,
KIN,FAN,4,,,
CRP,PLJE,4,,,
CRJ,ULT,4,,,
CRJ,RNPR,4,,,
ANDN,GKP,4,,,
ANDN,NTV,4,,,
ANDI,SZM,4,,,
BCA,TGA,4,,,
SGF,BTI,4,,,
SGF,MBY,4,,,
NRZB,BRS,4,,,
CIL,PBH,4,,,
DAA,SOR,4,,,
ULT,ASN,4,,,
SNTD,ADRA,4,,,
SNTD,BJE,4,,,
ULB,BZN,4,,,
ULD,BNT,4,,,
ULD,PHD,4,,,
AGN,SKS,4,,,
AGC,IDH,4,,,
NYO,SEE,4,,,
NYO,STLR,4,,,
KOTA,IDG,4,,,
BWT,YPR,4,,,
BWM,RTM,4,,,
MAP,BQI,4,,,
MAY,ZBD,4,,,
SNV,G,4,,,
MAO,KUDL,4,,,
MAO,MAJN,4,,,
MAO,KKW,4,,,
MAO,SWV,4,,,
NMX,DQG,4,,,
NMX,JPE,4,,,
KKU,JOB,4,,,
KKU,JP,4,,,
KKW,VBW,4,,,
NMH,MLG,4,,,
NMH,JWO,4,,,
VAPI,NVS,4,,,
CTC,BRAG,4,,,
PDKN,GNT,4,,,
BNLW,ISA,4,,,
DAKE,KQU,4,,,
SKTN,KRSL,4,,,
KAPG,BALU,4,,,
VMD,KVM,4,,,
VMD,PAV,4,,,
TUA,KTU,4,,,
TUA,TIR,4,,,
KRND,AMH,4,,,
TKRI,LKMR,4,,,
PAV,CLU,4,,,
CKB,ISA,4,,,
PAY,TKQ,4,,,
PAY,NLE,4,,,
CKI,DINR,4,,,
PAK,KPD,4,,,
BMCK,THV,4,,,
BMCK,MNGD,4,,,
PERN,SWV,4,,,
UJP,NAZJ,4,,,
GBX,HTE,4,,,
GBX,PKF,4,,,
BUP,RPUR,4,,,
PRLI,PBN,4,,,
BUG,GKP,4,,,
KMD,ED,4,,,
ETW,FZD,4,,,
KMZ,BEHR,4,,,
ETM,PVRD,4,,,
ETM,KTYM,4,,,
CVR,VRL,4,,,
CNDB,NAVI,4,,,
CNDB,NRKR,4,,,
GAJ,PHA,4,,,
KHED,RN,4,,,
KHED,PNVL,4,,,
RDRA,POK,4,,,
BRWD,CPDR,4,,,
NAZJ,DSS,4,,,
MAGH,BPQ,4,,,
SGLA,PVR,4,,,
AKJ,NHH,4,,,
AKJ,HGH,4,,,
BSP,USL,4,,,
BSR,BOR,4,,,
BSR,BRC,4,,,
BSL,VNA,4,,,
BSB,COI,4,,,
BSB,CHH,4,,,
BSB,ARJ,4,,,
SBP,RGL,4,,,
SBV,MNE,4,,,
MMR,RGO,4,,,
SBG,BGP,4,,,
MMK,MLMR,4,,,
MMK,CGL,4,,,
SBE,BPRD,4,,,
SBI,VG,4,,,
SBI,CLDY,4,,,
MMA,SAA,4,,,
ERS,TRTR,4,,,
CPDR,LTHR,4,,,
NRPD,RC,4,,,
RE,CKD,4,,,
RE,LHU,4,,,
RC,MTU,4,,,
RN,ADVI,4,,,
RN,MNI,4,,,
RN,SWV,4,,,
MULK,UD,4,,,
MULK,SL,4,,,
NGNT,BZA,4,,,
UDL,SURI,4,,,
UDL,ASN,4,,,
SYJ,BBU,4,,,
RGP,ZN,4,,,
RGP,GNP,4,,,
RGS,SMPR,4,,,
RGH,SGL,4,,,
RGH,RXL,4,,,
RGL,SBPY,4,,,
COA,CCT,4,,,
GNP,ZN,4,,,
GNT,MAG,4,,,
MKO,BHC,4,,,
MKO,SORO,4,,,
MKH,AWR,4,,,
AII,BJNR,4,,,
MKX,DKNT,4,,,
MNSR,HMH,4,,,
SDT,ARJ,4,,,
SDT,JKN,4,,,
SDE,DNR,4,,,
SDF,SDGH,4,,,
SDF,NPS,4,,,
SDI,MGAE,4,,,
SDI,AZ,4,,,
KQR,DHN,4,,,
BQG,LGL,4,,,
TIHU,PBL,4,,,
MABD,GLA,4,,,
BURN,ADRA,4,,,
MKA,SAE,4,,,
AKOR,DUD,4,,,
MGAE,NHT,4,,,
JWO,NBH,4,,,
GUD,GTS,4,,,
HLDD,RUPC,4,,,
MKR,GTL,4,,,
REN,DNA,4,,,
REN,MTD,4,,,
EKR,HIL,4,,,
ST,JL,4,,,
SM,HCR,4,,,
SL,MAQ,4,,,
SC,WL,4,,,
SA,SXT,4,,,
CAI,BTH,4,,,
CAI,NKE,4,,,
CAN,MAJN,4,,,
CAA,MFP,4,,,
CAG,RTA,4,,,
UDN,SCH,4,,,
MAKR,MNV,4,,,
MAKR,SGO,4,,,
DRTP,JMP,4,,,
GHD,RNQ,4,,,
SOR,DBA,4,,,
KSD,VRL,4,,,
KSF,BTP,4,,,
KSN,YG,4,,,
SEGM,BPQ,4,,,
BNDP,GRMP,4,,,
SUJH,LAU,4,,,
TMX,UR,4,,,
KOAA,ASN,4,,,
PIA,ASKN,4,,,
PIA,MNV,4,,,
BMKI,MFP,4,,,
PIP,MLG,4,,,
ASKN,SGO,4,,,
BVP,BVC,4,,,
DOE,GSPR,4,,,
UBL,DVG,4,,,
MWX,FZR,4,,,
MWJ,BEHR,4,,,
ORGA,BANO,4,,,
KHRJ,VJP,4,,,
KUU,BALU,4,,,
KUN,TRR,4,,,
KUE,KTRH,4,,,
KUD,RBG,4,,,
KUD,UGR,4,,,
KUD,CNC,4,,,
KUA,ARA,4,,,
TK,ASK,4,,,
AB,GYM,4,,,
AF,SWM,4,,,
AZ,MLDT,4,,,
BLTR,BTT,4,,,
SKZR,CD,4,,,
JSG,GP,4,,,
JSG,SBPY,4,,,
NHH,HGH,4,,,
NHK,DJG,4,,,
HIJ,JER,4,,,
FGR,FBD,4,,,
LBA,JOP,4,,,
LBA,SKN,4,,,
BFM,MNP,4,,,
BFM,JMU,4,,,
GHGL,HRNR,4,,,
PKR,BHW,4,,,
PKD,SSPN,4,,,
KTRH,NNA,4,,,
MUW,MDP,4,,,
MUR,GKP,4,,,
AST,BVH,4,,,
ASK,YPR,4,,,
NUD,VRR,4,,,
ASN,JOC,4,,,
KWE,LAV,4,,,
KWM,JMK,4,,,
BYNR,KT,4,,,
BKRO,GMIA,4,,,
ANVT,CNB,4,,,
PPD,SAT,4,,,
PPN,PNBE,4,,,
PPT,SVRP,4,,,
GSP,PTK,4,,,
BC,IZN,4,,,
BL,BOR,4,,,
BH,MYG,4,,,
BH,NIU,4,,,
TIS,MURI,4,,,
VYA,NDB,4,,,
NNW,SWM,4,,,
SQR,LNK,4,,,
ROK,NDLS,4,,,
LLR,PHN,4,,,
LLI,SRGM,4,,,
ROP,BLS,4,,,
ROP,BTS,4,,,
ROU,NXN,4,,,
BDM,BGK,4,,,
BDM,GED,4,,,
UD,BTJL,4,,,
MMY,OSN,4,,,
IDR,HG,4,,,
IDH,KLB,4,,,
PMT,OBVP,4,,,
PMP,KK,4,,,
CGL,CJ,4,,,
PNGM,BPB,4,,,
PNGM,KTX,4,,,
MSZ,BTI,4,,,
MSR,KRD,4,,,
MSH,VG,4,,,
AQG,POK,4,,,
DWR,BGM,4,,,
DWX,NRGR,4,,,
MLGH,BUDI,4,,,
VBL,PVPT,4,,,
PRNA,ARQ,4,,,
ANTU,AME,4,,,
SRNR,WPR,4,,,
JOP,ZBD,4,,,
PRB,KPP,4,,,
PRB,SEH,4,,,
PRT,VM,4,,,
PRR,BKSC,4,,,
MAQ,MAJN,4,,,
BRKA,DTO,4,,,
BRKA,TORI,4,,,
NLV,BPRD,4,,,
TKQ,CHV,4,,,
DLJ,SGD,4,,,
DLI,CNB,4,,,
DLO,APDJ,4,,,
DLO,BNV,4,,,
DLR,ARJ,4,,,
CTYL,NLDA,4,,,
SNX,KTW,4,,,
SNX,NBD,4,,,
LNL,KK,4,,,
LNL,CCH,4,,,
BBN,BJMD,4,,,
BBS,BRAG,4,,,
FKG,BXP,4,,,
FKG,BXJ,4,,,
FKG,SZR,4,,,
DQN,BLDI,4,,,
DQN,RNV,4,,,
DD,KPG,4,,,
DD,JEUR,4,,,
CJ,AJJ,4,,,
CD,WRR,4,,,
CD,WR,4,,,
VM,TNM,4,,,
VN,GYM,4,,,
MDPB,KTHU,4,,,
PTK,CHKB,4,,,
JMP,RPUR,4,,,
JMK,HJI,4,,,
BPRD,BJF,4,,,
SUR,BJP,4,,,
TET,DHN,4,,,
TET,GMO,4,,,
DISA,BLDI,4,,,
AMH,SAA,4,,,
NWD,WRS,4,,,
ADTP,KND,4,,,
DINR,AFK,4,,,
RTA,VJP,4,,,
RTA,CBK,4,,,
RTP,IAA,4,,,
UREN,KJH,4,,,
VJPJ,BBMN,4,,,
DO,JP,4,,,
TGA,BJU,4,,,
DHN,CNB,4,,,
DHT,BHB,4,,,
DHT,KFA,4,,,
RIG,SKT,4,,,
BNW,CKD,4,,,
BNU,KTE,4,,,
BNC,CRLM,4,,,
YNK,KJM,4,,,
BOKR,MUE,4,,,
BOKR,HEM,4,,,
VDA,BRC,4,,,
VZM,PVPT,4,,,
RRB,JRU,4,,,
SRTN,SLGR,4,,,
DJG,NTSK,4,,,
HCR,BOE,4,,,
BLZ,BRZ,4,,,
NFK,RPH,4,,,
BLS,BTS,4,,,
KTHU,CKDL,4,,,
DIG,BZA,4,,,
DIA,LAU,4,,,
DIA,CTKT,4,,,
KNVT,SHSK,4,,,
