STN1,STN2,Weight,Bins,Frequency,Intervals
SRR,PTB,20,,,
BAQ,BINA,20,,,
BAM,VZM,20,,,
KIUL,BJU,20,,,
LDH,JUC,20,,,
MEX,CHKB,20,,,
NK,KYN,20,,,
NU,JBP,20,,,
MKC,SFY,20,,,
NGP,BPQ,20,,,
SJP,SEH,20,,,
CPR,DGA,20,,,
BLGR,BRGA,20,,,
SLI,KRD,20,,,
BWT,KPN,20,,,
PAK,TPTY,20,,,
ALLP,SRTL,20,,,
AKP,YLM,20,,,
BST,MUR,20,,,
SBP,BRGA,20,,,
MABD,WL,20,,,
SZM,DLI,20,,,
PNME,HZD,20,,,
TJ,TPJ,20,,,
AY,GGJ,20,,,
JSG,RIG,20,,,
ORAI,CNB,20,,,
TRVL,KTYM,20,,,
KMBL,DWK,20,,,
BDJ,CLT,20,,,
PGI,FK,20,,,
PRG,PFM,20,,,
AMRO,HPU,20,,,
SSB,BGZ,20,,,
PTB,KTU,20,,,
BPRD,NBQ,20,,,
TEL,NDO,20,,,
NBQ,RNY,20,,,
AUB,KNE,20,,,
VDS,MDP,20,,,
MDR,BZA,20,,,
BVI,ADH,20,,,
KJH,AHA,20,,,
HTE,RNC,20,,,
BGM,GPB,20,,,
NOQ,NBQ,19,,,
KKLR,GDV,19,,,
SRR,PGT,19,,,
DRD,VAPI,19,,,
MS,MBM,19,,,
LDH,KNN,19,,,
NU,PPI,19,,,
NU,SRID,19,,,
GZB,NZM,19,,,
CPR,BUI,19,,,
KUDA,BYNR,19,,,
CRJ,JMT,19,,,
MAU,IAA,19,,,
SNT,AMP,19,,,
LSI,DBG,19,,,
PAR,MTY,19,,,
PAR,NRKR,19,,,
MOZ,MTC,19,,,
ALLP,AMPA,19,,,
BST,GKP,19,,,
SBI,MSH,19,,,
QLN,KCVL,19,,,
GNG,AME,19,,,
MKP,ALD,19,,,
CAN,CLT,19,,,
GAR,KY,19,,,
JUD,JUDW,19,,,
NNA,THB,19,,,
BDJ,MAHE,19,,,
KYJ,HAD,19,,,
KYN,KSRA,19,,,
KYE,BINA,19,,,
KYE,SGO,19,,,
KSRA,IGP,19,,,
DLN,BXR,19,,,
AMPA,HAD,19,,,
BLS,JER,19,,,
BLM,HRI,19,,,
MBM,TBM,19,,,
TORI,LTHR,19,,,
VSKP,SCM,19,,,
SGG,BGP,19,,,
SPT,IPM,18,,,
LD,LWR,18,,,
PND,BSP,18,,,
MBNR,GWD,18,,,
MBNR,KCG,18,,,
WKI,OTP,18,,,
DMO,PHA,18,,,
DMO,KMZ,18,,,
HNL,WHM,18,,,
TDO,DZA,18,,,
TDL,ALJN,18,,,
TDU,VKB,18,,,
RJY,NDD,18,,,
CAPE,NCJ,18,,,
KZE,PAY,18,,,
MB,NBD,18,,,
DOS,GAYA,18,,,
BAY,GTL,18,,,
LKO,FD,18,,,
NGO,MTD,18,,,
BMT,SC,18,,,
SHG,ABP,18,,,
GZB,SBB,18,,,
MGS,ZNA,18,,,
