MRLM,WJR,7.11
MRLM,TUG,3.35
PNK,GOY,7.4
PNK,BPU,11.38
PNJ,NIR,15
PNJ,GDU,6
PNM,KEF,10.22
PNM,NDL,14.49
PNC,BKG,6
PNC,RJPB,7
PNC,DDGJ,3.51
PNC,GZH,3
PNB,TKC,7.19
PNB,DGU,7.08
MRLA,CMNR,4.19
MRLA,BDGP,6.77
PND,SBRA,5.31
PND,HRB,8
PNF,MRTY,8.14
PNF,KRPR,7.29
BYH,ATRR,3.95
BYH,HDK,7.72
MNKN,KS,4.96
MNKN,MIH,5.6
MMB,BBPR,6.82
MMB,MGPA,16.1
GRRU,PRY,5.95
GRRU,IMGE,6.89
PQA,KPKD,7
PQA,PSX,5
MRT,MTJ,2.01
MRT,RAYA,12.47
MRU,MM,2.76
MRU,DDR,1.58
MRV,PPLC,6.89
MRV,PAU,9.88
MRQ,RIBP,4.42
MRQ,NPJE,5.17
MRR,BSBR,4.93
MRR,CTR,7.54
AHJU,BJMR,13
AHJU,CTZ,8
MRM,RU,14.24
MRM,BLPE,9.83
MRN,DRRN,5.22
MRN,BILD,9.18
GRRG,SBZ,5.19
GRRG,KZA,14.09
MRK,GJJ,13.19
MRK,TLU,12.47
MRD,RUJ,4.29
MRD,SHLV,3.59
MRE,SYWN,4.28
MRE,BMU,8.49
MRF,KOHR,9.73
MRF,SSPD,14.05
MRG,DBY,14
MRG,BGLI,4
MRA,SIKD,8.88
MRA,SANK,9.67
MRB,HTNL,3.72
MRB,HPT,5.93
MRC,MTU,7.22
MRC,RC,9.81
APR,AAL,12.7
APR,CLF,5.19
APR,MZH,8
APP,RRE,1.07
APP,DKR,0.82
APQ,RWO,6.76
APQ,PBR,13.42
APT,DWP,3.81
APT,BBPM,6.01
APJ,NIP,6.47
APJ,NNL,7.94
APK,VPT,21.92
APK,TCH,10.63
APH,RMSR,17.92
APH,BROR,9
API,DG,10.7
API,ODC,22.14
APN,SXT,8
APN,MPLI,5.59
APL,BPP,8.77
APL,MCVM,6.74
APB,PON,4.69
APB,MJR,4.01
APA,SEU,8.03
APG,RMNR,5.61
APG,BKKS,8.13
APD,APDC,2.6
APD,APDJ,5
APD,BSW,9.47
APE,NGT,2.76
APE,SKK,2.25
PKBS,KNDL,4.96
PKBS,FL,5.39
BDLC,GMAN,2.41
BDLC,BDAG,4.82
JNA,KZH,5.29
JNA,JJT,5.87
MVPM,SGE,5.08
MVPM,DC,15.79
BTYA,JTN,4.05
BTYA,KTRD,4.04
JGBR,CNPR,4.79
JGBR,DNEA,8.19
CKLT,HKP,4.43
CKLT,KIV,5.38
BAJN,SADL,8.98
BAJN,JTX,8.27
CKLA,FKA,9.44
CKLA,CKA,5.31
BAJE,KDBA,3.3
BAJE,SBHR,6.03
KADR,IDAR,7
KADR,VAE,7
KXH,RCF,6.03
KXH,KWJ,8.2
KXI,KQQ,5.12
KXI,KONN,8.23
MBSK,KKNA,10.54
MBSK,DIA,5.54
KXL,CFG,16.62
KXL,FKG,9.06
KXM,FHT,8.46
KXM,RNKA,8.98
KXN,KLG,7.02
KXN,GP,9.56
KXO,SMM,3.59
KXO,MAV,4.82
KXA,LSG,14
KXA,SNMR,7.44
KXB,SRKI,7.73
KXB,MNV,15.73
SEP,KDH,2
SEP,AGP,2
KXD,LGN,6
KXD,KTNI,6
KXE,TLJ,9.66
KXE,TPH,4.63
KXF,RDN,6.92
KXF,KMJ,7.97
KXG,UMED,10.96
KXG,GOTN,6.69
KXX,JUK,12.4
KXX,WHM,10.19
KXZ,LTR,6.1
KXZ,LPR,6.15
KXP,KZK,4.02
KXP,MQU,3.89
KXT,LOV,4
KXT,AVK,6
KKLR,PLVA,9
KKLR,MDVL,7
KKLR,VAU,2.9
VND,BVAC,5.18
VND,LKSH,2.77
DPDP,SSRD,4
DPDP,SJPR,3
KKLU,KMSD,12
KKLU,KWGN,12
KMME,MMU,4.61
KMME,BRR,3
KMMD,NAB,7.49
KMMD,BMP,10.17
SEE,PMU,6.56
SEE,HJP,5
BCYN,HDE,3.49
BCYN,FUT,1.99
CNKP,SDPR,0.65
CNKP,DSJ,12.1
YAL,VKI,6.31
YAL,YLK,5.97
YAD,AK,7.39
YAD,BGN,10.94
CRWL,SVDK,15.51
CRWL,UHP,9.3
PYLA,BVH,6.46
PYLA,AST,9.91
SEL,ADL,3.67
SEL,ABB,1.27
SPAM,KBT,3
SPAM,MAF,4
RMGM,CPT,11.06
RMGM,KHLL,7.19
RMGJ,KDF,6.98
RMGJ,PPU,4.6
DNKL,SCPR,5.3
DNKL,DNDL,7.1
MBNR,YNG,4.08
MBNR,MHBT,2.55
KPNA,NIA,6.77
KPNA,AKT,8.21
ANSB,BNLY,10.95
ANSB,KART,7.93
BMVR,KTAL,1
