BPHB,BIA
SC,RMNP
SCQ,NAS
SCQ,KUPR
SC,NRDP
SC,MED
SC,LPI
SCKR,PPI
SC,GTL
SCE,NGAN
SCE,CPK
SCC,CH
SCC,BVN
SC,BZA
SBZ,GKP
SBZ,GH
SBV,SBM
SBV,KGG
SBR,KMNC
SBPY,ANGL
SBPD,JUJA
SBPD,JSG
SBPD,ANGL
SBP,BONA
SBO,GGA
SBI,GNC
SBG,TLJ
SBE,BNGN
SBE,BJF
SBD,NWR
SBD,KTE
SBD,DDCE
SBC,MYS
SBB,VVB
SBBJ,KRNT
SBBJ,GWD
SBB,ANVR
SAV,NB
SAV,BSL
SAU,CE
SAU,ABD
SASN,RPAR
SA,RASP
SAP,NDKD
SANR,KHM
SALE,KGLE
SA,KPN
SA,KJM
SAI,HJP
SAI,BNR
SAH,BVI
SAGR,NHN
SAE,BRYA
SAC,MLAR
SAC,GWL
SA,ATU
RYS,PMR
RYS,BE
RYP,KI
RYP,BZA
RWTB,MJBT
RWO,PBR
RWL,RKSH
RWL,QSR
RWH,JTTN
RWH,BLMR
RV,NB
RVKH,MMZ
RVKH,BPA
RUR,LM
RU,RJP
RUR,BTD
RUPC,RMU
RU,NLR
RUM,RBL
RUL,LLGM
RU,HX
RUB,KGA
RUB,FTP
RTM,RTI
RTM,RMA
RTM,NLI
RTM,GDA
RTM,BOD
RTI,BOG
RTI,BILD
RTA,KHRJ
RSR,PEP
RS,NNP
RSI,CNK
RSI,BLW
RS,BRK
RSA,MXA
RSA,GDZ
RRS,LLJ
RRB,HSD
RQJ,MOP
RQJ,JPG
RQJ,JPE
RPRD,AMB
RPJ,KNN
RPH,UDL
RPH,BWN
RPD,JLW
RPD,CHD
RPAR,SIR
RPAR,MRND
RPAR,KRLI
RPAR,GANL
RPAN,NMM
ROZA,KH
ROU,TATA
ROU,PPO
ROU,ORGA
ROU,KXN
ROU,BZR
ROU,BSP
ROP,HIP
ROK,LHLL
ROK,KLNK
ROK,ISM
ROK,DEE
ROK,BNW
ROHA,MNI
ROA,KGG
RNY,KBY
RNY,CGS
RNR,BYD
RNQ,NUQ
RN,PERN
RNO,BJW
RNH,KUH
RNH,BOD
R,NGP
RNGG,BLPR
RNGG,BBGN
RMU,NRS
RMR,GWS
RMPB,MLNH
RMPB,MKRH
RMNP,NLDA
RMNP,CTYL
RMNP,BN
RMN,KNL
RMN,BTI
RM,MWK
RMM,PBM
RMJK,JAT
RMF,NUQ
RMB,LHU
RMA,DKNT
RLA,MHV
R,KRAR
RK,MOZ
RKM,FHT
RKM,ETW
RK,JWP
RK,DBD
RKB,MMY
R,KBJ
RJY,KYM
RJY,CCT
RJY,APT
RJP,OBVP
RJA,JYG
RHN,PLS
RHN,ALJ
RHMA,GRKN
RHMA,BDBA
RHG,MKH
RHE,GTS
RHA,NH
RHA,KOAA
RGU,ICL
RGU,GTM
RGU,BSZ
RGU,BNDA
RGS,NMK
RGPM,RDM
RGPM,PDPL
RGDA,KRPU
RG,BBA
RG,ALJN
REJ,PLY
REJ,BEB
REI,KTE
RE,DLI
RECH,BPA
RECH,ASAF
RDRA,JSM
RDM,PPZ
RDL,PTH
RDL,LKO
RDHP,BLDI
RDDE,NUR
R,DBEC
RCTC,KDRP
RCTC,GRKN
RC,BMT
RBZ,KSP
RBL,KCJ
RBL,GANG
RBK,KEG
RBK,AO
R,BIA
RBG,MRJ
RBGJ,CPU
RBG,CKR
RASP,NMKL
RANI,JAL
RANI,AII
RAJP,ADVI
RAIR,JUJA
RAG,BG
RAG,ALER
RAA,JUD
QSR,DWO
QLN,MYY
QLN,MQO
QLN,KZK
QLN,KTYM
QLM,MAO
QLD,CAN
PYOL,QLD
PYD,ERL
PWL,HDL
PVU,MYY
PVR,MLB
PVR,KWV
PVRD,MNTT
PVD,DIG
PVD,BZA
PUX,KUX
PUX,JNO
PUX,CWA
PUS,GMIA
PUS,BRKA
PUN,PSA
PUN,NWP
PUNE,PNVL
PUNE,MRJ
PUNE,JJR
PUNE,CCH
PUNE,BPL
PUL,BNN
PTRU,BHKD
PTRE,KTRR
PTRE,GTM
PTRD,KIP
PTKP,OEA
PTKP,BGSF
PTK,MEX
PTKD,CBZ
PTKD,BRGM
PTJ,ED
PTH,DYD
PS,AK
PRT,CUPJ
PRR,GUG
PRR,GAYA
PRR,CNI
PRR,BJE
PRP,GAP
PRNR,NYG
PRNR,GADH
PRLI,PNF
PRI,IKK
PRH,NZD
PRH,EE
PRG,PBH
PRG,KHNM
PRDP,BDBA
PQN,KHNM
PQL,KZJ
PQL,GNP
PPZ,MCI
PPR,RKB
PPR,GOTN
PPO,KLG
PPN,NDW
POT,AUB
PNW,JAA
PNVL,KJT
PNVL,CKHS
PNU,BLDI
PNSA,DWLE
PNSA,BHLE
PNQ,GUV
PNP,DEE
PNP,DEC
PNK,PHD
PNF,JOA
PND,KOI
PND,HRB
PNBE,NDLS
PNBE,JAJ
PNBE,FUT
PNBE,DLN
PNBE,ANVT
PNBE,ALD
PMU,NYO
PMR,AO
PMP,DEHR
PMP,CCH
PMN,LLR
PMN,BZM
PMKT,LNT
PMKT,ADB
PM,BWSN
PLY,DEB
PLS,KPV
PLNI,CHPT
PLMD,CBF
PLK,BXM
PLK,BIK
PLI,TP
PLG,BL
PLCJ,OSN
PLCJ,MWT
PLCJ,LGH
PLCJ,JU
PLCJ,BKN
PKU,BZN
PKR,NHT
PKR,KLP
PKR,GMAN
PKF,HTE
PIP,NMH
PHR,NRM
PHN,GOY
PHD,RURA
PGT,PGTN
PGT,ED
PGR,MPLM
PGRL,MRGA
PGRL,GNT
PFM,SWE
PFM,KHNM
PES,JHN
PER,NLR
PER,KPD
PEP,CHR
PEP,CBN
PEC,KUGT
PEC,DMR
PDY,MS
PDU,DUSI
PDR,GD
PDRD,KSF
PDRD,BTP
PDR,BRK
PDPL,OEA
PDPL,KYOP
PDPL,KRMR
PDL,MKR
PDL,DHNE
PDE,NIR
PDE,GNS
PDD,MAJN
PCZ,KRA
PCZ,DKJ
PCV,HSRA
PCV,DPJ
PCN,AGR
PCH,GKK
PCH,BGM
PBR,LPJ
PBR,BNVD
PBP,ALER
PBM,MMM
PBL,NLV
PBKS,KDNL
PBH,BSE
PBH,ANTU
PBE,MJZ
PB,ANG
PAZ,ELM
PAY,VAPM
PAY,ELM
PAW,DUJ
PASA,KZTW
OSN,MWT
ORGA,NXN
ORGA,BNDM
ORAI,MOTH
OPL,JMKT
OPL,HSP
ON,BQP
ON,BLM
OML,MS
OML,MCRD
OMLF,MLDT
OMLF,ADF
OML,DPJ
OKHA,MTHP
OGL,MS
OEA,KOLR
OEA,JMKT
ODM,BQA
ODG,BNI
ODC,CHPT
ODC,API
NZT,KZB
NZM,TKJ
NZM,MTC
NZM,GWL
NZM,BTE
NZD,EE
NZB,SC
NZB,NED
NZB,KCG
NYY,DAVM
NYO,DGA
NYN,BDL
NYG,JRLI
NXN,BNDM
NWU,UDN
NWR,SNRR
NWR,KTE
NWD,GAYA
NWB,MWJ
NWA,NIR
NWA,LTA
NVG,JNO
NVG,HRG
NVG,AMLA
NUQ,MQX
NU,KKB
NUJ,GVL
NUJ,GDV
NU,GAR
NU,BSL
NTSK,NHK
NTSK,BOJ
NSU,BTG
NSD,BDW
NRZB,KKI
NRT,MRK
NRT,DKD
NRS,BE
NRR,GTL
NRR,AD
NRPA,MFP
NRO,NRM
NRO,MQS
NRM,BZG
NRKR,BZU
NRKR,AMLA
NRGR,UJN
NRG,JJKR
NRG,CTC
NRDP,CTYL
NPK,AAY
NPD,KBJ
NOQ,GOGH
NOMD,DPS
NOMD,BJMD
NOI,JRK
NNP,MIN
NNO,MGLP
NNGL,NLDM
NNGL,MTPR
NNGE,JID
NNGE,GHY
NNA,CRR
NNA,BJU
NNA,BGS
NMM,MJBT
NMKL,MONR
NMGY,KUTI
NMGY,GLGT
NMGT,JSP
NLV,KTCH
NLR,MAS
NLR,KPD
NLP,HMY
NLP,GOM
NLKR,KKDE
NLI,JAO
NLDA,GNT
NLDA,BN
NKW,HCNR
NKP,KAPG
NKM,MURI
NK,LTT
NKJ,KTES
NKJ,KHBJ
NKD,MABD
NJP,NBQ
NJP,JPG
NJP,DLO
NJP,BNV
NJP,APDJ
NIQ,JTI
NILE,NFK
NIA,KPNA
NHN,KKAH
NGP,SNI
NGP,MTY
NGP,KCG
NGP,BZA
NGP,BTBR
NGO,JU
NGO,BKN
NGNT,MAG
NGI,CKNI
NG,EKM
NGB,MUR
NGB,AY
NGAN,AONI
NGA,LTD
NGA,ALMR
NFK,AZ
NEW,BWR
NED,HEM
NED,BSX
NED,ADB
NDW,PNBE
NDU,JHD
NDT,MVJ
NDLS,TKD
NDLS,DEE
NDLS,CSB
NDL,MRK
NDL,BMH
NDL,BEY
NDJ,ARJ
NCB,NBQ
NCB,JPE
NCB,GDX
NCB,FKM
NCB,APDJ
NBQ,JPZ
NBQ,GOGH
NBQ,FKM
NBQ,BSGN
NBQ,BJF
NBG,BSYA
NBD,KTW
NAVI,BD
NAVI,AK
NAT,MPY
NAT,AKN
NASP,AKP
NAS,HSX
NANR,KDJR
NANR,BSTP
NAN,KKW
NANA,MOI
NAM,BOJ
NAM,BFD
NAK,GAGA
NAK,BORA
NAD,BWM
NAC,JP
NAB,MME
NAB,BPQ
MZP,BSB
MZM,LRJ
MYS,HAS
MYG,ITA
MYD,LMG
MYD,HTL
MXT,KCG
MXT,FM
MXR,MGE
MXR,MBG
MXR,LFG
MXR,DJA
MXN,CMA
MXN,BXJ
MXK,FZD
MXH,FZR
MXA,DURG
MWRN,KTHD
MWK,SHF
MWH,FTP
MWH,BKO
MW,BTT
MVN,KLPM
MV,CDM
MV,ADT
MUW,JSME
MUV,BHLP
MUV,ALD
MUR,KEA
MURI,CNI
MURI,CKP
MURI,BRKA
MUPA,KQI
MUPA,DKE
MUGR,BDCR
MUE,HEM
MUE,DAB
MTR,CAA
MTP,CBE
MTM,GDV
MTJ,MRT
MTJ,KSJ
MTJ,GDO
MTJ,FHT
MTJ,DSJ
MTHP,DWK
MTDM,MCRD
MSZ,KTKL
MSZ,BRZ
MSW,SNC
MST,KAR
MST,BGH
