BYL,BSP,84,16
GD,PDR,2,35
GD,CLJ,77,28
GD,MUR,81,29
GB,CC,66,10
GB,DEOS,66,15
BYD,RNR,37,18
BYD,HVR,37,14
GK,LMP,3,35
GK,MLN,3,26
TLHR,DNKL,11,52
GH,SBZ,16,11
GH,CPJ,16,15
MAQ,MAJN,42,5
MAQ,ULL,70,9
MAQ,SL,4,29
MAP,BDY,111,12
MAP,SLY,111,24
MAS,SPE,78,83
MAS,PER,100,6
MAU,BLTR,10,35
MAU,DLR,21,21
MAU,MMA,23,21
MAU,IAA,36,8
PQE,BEHS,7,6
PQE,NLD,7,6
JNU,MIH,39,12
JNU,ZBD,39,7
MAY,JNH,6,30
MAY,ZBD,6,18
SNL,DOA,7,7
SNL,LDH,7,15
PQL,KZJ,82,8
PQL,GNP,82,12
SNK,DDE,43,19
SNK,AN,43,42
PQN,UCR,14,11
PQN,GRMR,14,7
SNI,TGP,160,9
SNI,AJNI,160,43
SNV,AJU,6,33
SNV,G,6,46
SNT,TPF,2,21
SNT,AMP,56,13
SNT,MLV,72,16
SNT,SURI,22,19
MAD,MYA,34,19
MAD,CPT,34,18
SNP,RDDE,67,10
SNP,DEE,4,46
SNP,GNU,71,16
JND,BDDR,14,28
JND,JLR,14,26
MAI,MTR,18,13
MAI,CAA,18,8
JNH,BSE,23,17
JNH,URPR,25,14
JNH,SQN,42,5
JNO,IKR,3,13
JNO,HRG,3,10
MAO,KRMI,48,40
MAO,SVM,15,16
MAO,VSG,15,28
MAO,CNO,42,45
JNL,ASR,60,19
JNL,BEAS,60,24
BEH,BMB,71,16
BEH,JSG,71,21
BEB,REJ,6,9
BEB,BPC,6,18
SVRP,BKSL,24,5
SVRP,PPT,24,9
BEA,KRS,109,12
BEG,KUF,123,8
BEG,TDP,123,7
BEY,BMH,10,6
BEY,NDL,10,34
BER,SEU,43,14
BER,AII,43,52
BSRX,LMT,12,18
BSRX,BJP,12,44
MLGH,SMPA,13,21
MLGH,CNA,13,58
VLI,FK,74,10
VLI,PGI,74,5
TTR,ASK,37,26
TTR,AMSA,37,27
GMDN,KGP,14,2
GMDN,MDN,14,11
LSI,TLWA,40,7
LSI,DBG,40,5
VLY,NNN,26,14
VLY,NPK,26,8
MPLM,KRR,42,10
MPLM,PGR,42,5
LSR,POZ,27,12
LSR,KAJG,27,10
TTL,VPT,2,21
TTL,SVKS,2,3
TTB,MXN,22,12
TTB,KXL,22,17
VLR,KPD,12,10
VLR,ARV,12,35
BIRD,PNVL,30,40
BIRD,BSR,66,27
LSX,BRPL,31,38
LSX,BLGR,31,18
ZN,RGP,82,12
ZN,PBP,82,5
KSRA,IGP,116,16
SPZ,BGZ,37,18
SPZ,ISM,37,3
GRX,BSE,23,13
GRX,DND,23,10
GRY,PHR,123,13
GRY,PGW,123,10
GRD,MMD,4,10
GRA,PNP,73,16
GRA,KUN,73,18
GRO,ET,98,11
GRO,SQL,98,8
GRL,MFP,72,26
GRL,BNR,72,9
ZW,JYM,2,23
ZW,KRCD,2,15
BSDP,NKP,106,7
BSDP,KAPG,106,10
NMM,RPAN,2,11
NMM,MJBT,2,30
NOI,JRK,50,16
NOI,SGO,50,18
NOK,DSO,32,32
NOK,NGO,32,51
KKU,JOB,97,28
KKU,JP,97,9
ARV,PRL,12,17
KKW,SNDD,50,25
KKW,NAN,50,22
KKP,GJUT,16,16
KKP,BRW,2,18
KKP,FDK,14,13
KKM,YA,25,15
KKM,HX,25,24
HLN,HAS,14,32
HLN,MGF,14,19
KKN,BRUD,123,20
KKN,HD,123,32
KKI,NRZB,32,10
KKI,UMR,32,12
TDU,VKB,32,41
TDU,NAW,32,18
KKJ,MLD,115,10
KKJ,AMG,115,8
APDJ,NCB,21,23
APDJ,HOJ,21,26
KKA,DLK,104,15
KKA,KNE,104,14
NOQ,NCB,77,19
NOQ,KAMG,75,20
KKB,SRID,98,15
KKB,NU,98,15
VAPM,KPQ,70,7
VAPM,CAN,70,7
STPD,KCG,8,5
STPD,MJF,8,4
VAPI,BLD,156,13
VAPI,UVD,156,8
BZLE,KGLE,17,27
BZLE,SALE,17,14
VBL,PVP,25,24
VBL,VZM,25,53
VBW,RAJP,50,24
VBW,NAN,50,21
PRNR,GADH,2,7
CTC,KNPR,102,4
CTC,KDRP,2,16
CTC,KIS,2,15
CTC,NRG,2,11
CTC,DNKL,37,57
CTC,BRAG,4,11
CTC,JKPR,2,64
CTC,MCS,143,21
CTO,PAK,59,30
CTO,KPD,57,32
BRJN,BPH,58,9
BRJN,JSG,58,13
MTJ,MRT,9,2
MTJ,AH,48,35
MTJ,CHJ,153,31
MTJ,DSJ,4,137
MTJ,FHT,71,22
MTJ,GDO,2,25
WHM,AK,20,79
WHM,HNL,20,47
PNDM,VRI,44,18
PNDM,ALU,44,35
ABSA,TLMR,2,29
ABSA,MANU,2,20
SID,CHP,72,14
SID,UJA,72,14
MDL,BHL,28,11
MDL,GBP,28,53
DBEC,R,102,20
DBEC,BIA,102,4
RLO,TU,25,24
LMP,STP,3,45
LMT,BGK,12,35
SPE,GPD,26,35
LMK,MAM,89,10
LMK,PPD,89,8
LMN,RBL,12,21
LMN,UCR,12,17
LMO,SVKD,2,24
LMO,DAS,2,33
LMG,DPU,28,32
LMG,MYD,6,10
LMG,LKA,30,30
DPU,DMV,28,37
MOTC,RWL,36,7
MOTC,HW,36,4
DPS,KNPS,2,20
DPS,DJHR,2,21
DPS,NOMD,4,8
DPR,SEO,65,14
DPR,NGG,65,16
MOTH,AIT,45,34
MOTH,CGN,45,24
JID,NNGE,2,49
JID,CPK,32,34
JID,DGU,30,23
MVLK,CYN,55,6
UKL,TUP,118,14
UKL,ED,118,36
DPA,JP,36,7
DPA,BNLW,36,59
SDGM,HMT,2,81
SDGM,ASV,2,5
DPL,LKN,62,5
DPL,BGS,62,13
DPJ,PCV,19,21
DPJ,OML,19,55
UKA,UDL,9,12
UKA,PAW,9,9
LD,LWR,43,34
LD,KNP,35,26
LD,CLR,15,25
KAMG,JOQ,75,8
LC,DAL,3,2
LC,BNZ,36,7
LC,ASH,3,2
LC,LJN,36,5
LM,RUR,9,27
LM,WC,9,20
BNLW,ISA,36,26
LS,NR,116,17
LS,MMR,116,25
BLPU,MK,127,7
BLPU,TSA,127,7
BLPR,KUTI,2,4
BLPR,RNGG,2,4
TPH,TLJ,22,10
TPH,BHW,22,16
ANTU,JGJ,36,8
ANTU,MFL,36,8
CLDR,HCNR,2,11
CLDR,SGDP,2,11
RDHP,DEOR,6,41
RDHP,SNLR,6,43
NLDA,CTYL,20,26
NLDA,MRGA,20,38
KWAE,NDAE,17,39
KWAE,SALE,17,17
PNP,DEC,2,94
PNP,SMK,71,17
NLDM,NNGL,4,3
NLDM,ANSB,6,20
BINA,DUA,138,35
BINA,MABA,150,18
BINA,MNV,12,28
PNW,BKSC,38,17
PNW,KSX,38,12
PNK,GOY,144,7
PNK,RURA,144,33
BKNG,RJT,16,6
BKNG,GDL,16,35
